Iran,25-29,Male,Spaces,2 - 5 years,Back-end web developer,Ubuntu,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,Ruby,,,,,,,,,,,,,,,AngularJS,,,,,,,,,,,,Go,,,,,JavaScript,,,,,,,PHP,,,,Ruby,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Web Services,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,No,I am not interested in other job opportunities,Salary,,,,,,,,,,,,Quality of colleagues,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,,Taking time off work to interview,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Tolerate,I don't have an account,Hate,Hate,Message is personalized,,,,Company culture is described,,,,,,,,Office location,Job title,,,Great,Tolerate,Tolerate,Great,Hate,,,,Introduce me to the boss,,Offer me a decent cup of coffee,Show me the space in which I will work,,,,,,,,Other,1,None,Once a day,Vim,,Dark,Git,,,,,,,,,,,Git,,,,Because I can't do my job without it,,To demonstrate that I'm good at what I do,To communicate with others like me,,Because I love to learn,,Always,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Iran,25-29,Male,Tabs,6 - 10 years,Back-end web developer,Ubuntu,,,,,C,C++,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,Wordpress,,,,,,,,,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,"Mentorship program (ie. Flatiron School, GDI, etc.)",,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Employed part-time,Web Services,I love my job,I can recommend or request products,Part-time Remote,Yes,I am open to new job opportunities,,,Ability to make or influence important decisions,Health insurance,,,,,,,,,,,,Building something that matters,,,Very important,,,Searching for a job that seems interesting,,,Taking time off work to interview,The interview process,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Tolerate,Great,I don't have an account,Great,Great,,,,,Team I would be working with isædescribed,Company culture is described,,Benefits / perks of the work environment are described,,Salary,Benefits,Company name,,,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Tolerate,Tolerate,,Be more flexible about interview scheduling,,,,,,,Prepare me for who I will be speaking with,,,,,,,5,5-10 hours per week,Multipleætimes a day,Sublime Text,,Dark,,,,,,,,,,I don't use source control,,Git,,To get help for my job,To give help to others,Because I can't do my job without it,,,,,,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,I feel a sense of responsibility to the developer community,,,
Iran,25-29,Male,Tabs,2 - 5 years,Back-end web developer,Ubuntu,,,,AngularJS,,,,C#,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,,,Employed part-time,Web Services,I'm somewhat satisfied with my job,I have no say in purchasing what I need or want at work,I rarely work remote,No,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,Quality of colleagues,,,,,,Somewhat important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,20-24,Male,It depends,2 - 5 years,Back-end web developer,Windows 8,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,Python,,,Ruby,,,,,,SQL,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$20,000 - $40,000",30000,Freelance / Contractor,Web Services,I love my job,I have a discretionary budget at my disposal,Part-time Remote,Yes,I am open to new job opportunities,,,,,,Tech stack,,,,,,,,,,,,Flexible work hours,Somewhat important,Finding time to job search,,,,,,,Rarely,"Please, make the recruiter spamŒæstop",Great,Great,I don't have an account,Great,Great,Hate,Hate,,,Stack Overflow activity is mentioned,,,,,,,,,Tech stack,,,,,Great,Great,Great,Great,Great,Show meæmore live code,,,,Introduce me to the team,,,,,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,To showcase my Stack Overflow activity,Because the jobs ads are right there on Stack Overflow,,8,20+ hours per week,Once a week,Sublime Text,,Dark,Git,,,,,,,,,I don't use source control,,Git,,,To give help to others,,,,To communicate with others like me,,Because I love to learn,,Sometimes,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,,,,
Ireland {Republic},25-29,Male,Tabs,2 - 5 years,Back-end web developer,Ubuntu,,Android,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$80,000 - $100,000",90000,Employed full-time,Web Services,I love my job,I have a discretionary budget at my disposal,I rarely work remote,No,I am open to new job opportunities,,,,,,,,,,,,,,,,,,,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland {Republic},< 20,Male,Tabs,2 - 5 years,Back-end web developer,Mint,,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,,,Freelance / Contractor,Web Services,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",Full-time Remote,Yes,I am open to new job opportunities,Salary,,Ability to make or influence important decisions,,,,,,Work/life balance,,,,,,,,,,It's non-negotiable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland {Republic},25-29,Male,Tabs,2 - 5 years,Back-end web developer,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Freelance / Contractor,Web Services,I'm somewhat satisfied with my job,I can buy anything I want without asking anyone,Full-time Remote,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,Opportunity for advancement,,,,,,,,,Somewhat important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland {Republic},< 20,Male,It depends,1 - 2 years,Back-end web developer,Mac OS X,,Android,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,C#,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,Swift,Visual Basic,Windows Phone,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Freelance / Contractor,Web Services,I'm neither satisfied nor dissatisfied with my job,I have no say in purchasing what I need or want at work,Full-time Remote,Yes,I am open to new job opportunities,,,,,,,,,,,,,Quality of colleagues,Company culture,,,Remote working options,,Somewhat important,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,Never,I wish more recruiters contacted me!,Great,I don't have an account,I don't have an account,Tolerate,I don't have an account,Tolerate,Hate,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,,,,Tech stack,,,People I would be working with,Details about the product or project I'd be working on,Hate,Tolerate,Tolerate,Tolerate,Great,,,Offer remote interviews (ie. via video conference),,Introduce me to the team,,Show me the space in which I will work,,,,It's a jobs site specificallyæfor programmers,,,,,2,5-10 hours per week,Multipleætimes a day,Vim,,Dark,Git,,,,,,,,,,,Git,,,,,,,,To receive help onæmy personal projects,,,Usually,,My answer will help lots of people who have the same problem in the future,,,,,,
Israel,30-34,Male,Spaces,2 - 5 years,Back-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$40,000 - $60,000",50000,Employed full-time,Web Services,I'm somewhat satisfied with my job,I can recommend or request products,Never,No,I am not interested in other job opportunities,Salary,,,,,Tech stack,,,,,,,,,,Building something that matters,,,Not important,,,,Interesting companies rarely respond,,Taking time off work to interview,The interview process,About once a week,"Please, make the recruiter spamŒæstop",Hate,Hate,I don't have an account,Tolerate,I don't have an account,I don't have an account,Hate,Message is personalized,,,,,,,,,,,,,,,Details about the product or project I'd be working on,Hate,Tolerate,Great,Great,Great,,,,,,,,Fewer brainteasers,Prepare me for who I will be speaking with,,,,,,,2,2-5 hours per week,Once a day,NotePad++,,Light,Git,,,CVS,,,,,,,,Git,,To get help for my job,,,,,,,,,Usually,,,,,,,"I don't answer much (or at all), and I don't want to",
Israel,30-34,Male,It depends,6 - 10 years,Back-end web developer,Other Linux,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,Java,,,,,Node.js,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Employed full-time,Web Services,I love my job,I can recommend or request products,Part-time Remote,No,I am not interested in other job opportunities,Salary,,,,,,,,,Opportunity for advancement,,,,,Company reputation,,,,Somewhat important,Finding time to job search,,,,Writing my CV and keeping it updated,Taking time off work to interview,,Never,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,I don't have an account,Great,Great,I don't have an account,Hate,Message is personalized,,,,,,Benefits / perks of the work environment are described,,Salary,,Company name,,Office location,,,,Tolerate,Tolerate,Tolerate,Great,Great,,,,,,,,,Prepare me for who I will be speaking with,No spam from recruiters,,,,,,5,1-2 hours per week,Multipleætimes a day,Sublime Text,,Light,Git,Mercurial,SVN,,,,,,,,,Mercurial,,To get help for my job,To give help to others,Because I can't do my job without it,,,To communicate with others like me,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,I feel a sense of responsibility to the developer community,,,
Italy,20-24,Male,Tabs,2 - 5 years,Back-end web developer,Windows 8,,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,Windows Phone,,,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,Windows Phone,,,,On-the-job training,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Web Services,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Never,Yes,I am open to new job opportunities,,,,,,,,,,,,,,,,Building something that matters,,,Not important,,,,,Writing my CV and keeping it updated,,,Never,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,I don't have an account,I don't have an account,Tolerate,Tolerate,Message is personalized,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,,,,,Benefits,Company name,,,,,Details about the product or project I'd be working on,Great,Great,Great,Great,Great,Show meæmore live code,,Offer remote interviews (ie. via video conference),,Introduce me to the team,,,,,,,,,,,0,10-20 hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,,,,,,,
Italy,35-39,Male,Tabs,11+ years,Back-end web developer,Mint,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,Unemployed,Unemployed,Freelance / Contractor,Web Services,I'm somewhat satisfied with my job,I can recommend or request products,Full-time Remote,Yes,I am open to new job opportunities,Salary,,,,,,Company size,,,,,,,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,20-24,Male,Tabs,Less than 1 year,Back-end web developer,Mac OS X,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Freelance / Contractor,Web Services,I'm somewhat satisfied with my job,I can recommend or request products,Never,Yes,I am open to new job opportunities,,,,,,,,,Work/life balance,,,Office location,,,,,,Flexible work hours,Somewhat important,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,,,Rarely,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,Great,Great,Hate,Hate,Message is personalized,,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,,Company name,Tech stack,Office location,,,,Tolerate,Tolerate,Great,Tolerate,Great,,Be more flexible about interview scheduling,,,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,2,1-2 hours per week,Once a week,,Xcode,Light,,,SVN,,,,,,,,,SVN,,To get help for my job,,,,,,,,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Italy,30-34,Female,Tabs,2 - 5 years,Back-end web developer,Ubuntu,,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,,,,,,,,,,,SQL,,,,,,,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"Less than $20,000",10000,Employed part-time,Web Services,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,Yes,I am open to new job opportunities,,,,,,,,,Work/life balance,,,,Quality of colleagues,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,I don't have an account,Tolerate,Great,I don't have an account,Hate,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,Salary,,Company name,Tech stack,Office location,,,,Great,Tolerate,Great,Great,Tolerate,,,,,Introduce me to the team,Offer me a decent cup of coffee,,,,,,,,,,1,5-10 hours per week,Once a day,,gedit,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,,,,,,,Because I love to learn,,Usually,,My answer will help lots of people who have the same problem in the future,,,,,,
Italy,25-29,Male,Tabs,2 - 5 years,Back-end web developer,Ubuntu,,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,"Symfony, Doctrine, Docker",,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,"Symfony, Docker, Drone",No formal training; I'm self-taught,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"$20,000 - $40,000",30000,Employed full-time,Web Services,I love my job,I can recommend or request products,Never,Yes,I am open to new job opportunities,Salary,,,,,,,,,Opportunity for advancement,,Office location,,,,,,,Not important,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,Interesting companies rarely respond,,,,Rarely,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,Tolerate,Great,Hate,Hate,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,Salary information is provided,,,,,Company name,Tech stack,Office location,Job title,,Details about the product or project I'd be working on,Great,Tolerate,Great,Tolerate,Great,,,,,Introduce me to the team,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,,1,None,Once a day,NotePad++,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,To receive help onæmy personal projects,,,Usually,It feels good to help a programmer in need,,,Demonstrating my expertise will benefit me,,,,
