What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,How many people work for your company?,Which of the following best describes your occupation?,"Including yourself, how many developers are employed at your company?",How large is the team that you work on?,What other departments / roles do you interact with regularly?,,,,,,,,,,"If your company has a native mobile app, what platforms do you support?",,,,,,,"If you make a software product, how does your company make money? (You can choose more than one)",,,,,,,,"In an average week, how do you spend your time?",,,,,,,,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,Which technologies are you excited about?,,,,,,,,,,,Which desktop operating system do you use the most?,"Please rate how important each of the following characteristics of a company/job offer are to you.    Please select a MAXIMUM of 3 items as ""Non-Negotiables"" to help us identify the most important items, those where you would never consider a company if they didn't meet them.",,,,,,,,,,,,,,,,Have you changed jobs in the last 12 months?,What best describes your career / job satisfaction?,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases?",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,,,
Response,Response,Response,Response,Response,Response,Response,Response,Response,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,Grants / outside fund-raising,Other,Developing new features,Refactoring / code quality,Fixing bugs,Technical support,Meetings,Learning new skills,Surfing the Internet,Commuting,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify),Node.js,Haskell,CoffeeScript,Dart,TypeScript,C++11,WinRT,Redis,MongoDB,F#,PhoneGap,Response,High Base Compensation,Stock Options/Profit Sharing Program,Identification With the Company/Goals,Excitement About the Company's Products,Opportunity to Use/Learn New Technologies,Room for Growth of Skills/Knowledge,"High Quality Office Space (amenities, lounge space, free food, etc)",High Caliber Team (is everyone else smart/hardworking),"Positive Organization Structure (not much bureaucracy, helpful management)",Lots of Control Over Your Own Work,"Quality of Workstation (dream machine, 30inch monitors, etc)",Autonomy Over Budget/Expenditures,Office in a Desirable City/Area,Convenient Commute or Telecommute Options,40 hour work week,Limited night / weekend work,Response,Response,Response,iPhone,Android,Blackberry,Windows Phone,iPad,Android Tablet,Kindle Fire,Windows Tablet,Kindle,Nook,PS3,Xbox,Wii,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Other (please specify)
Middle East,,30-34,11,Software Products,"1,000-3,000",Desktop Software Developer,100,4/8/2013,System Administrators,Designers,,Testers / Quality Assurance,,,,,,,iPhone,,Android phone,,,,,,,,Software as a service / recurring billing,,,,,5-10 hours,5-10 hours,5-10 hours,2-5 hours,2-5 hours,2-5 hours,2-5 hours,2-5 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,C#,,JavaScript,jQuery,,,,,,,,,,,,,,,WinRT,,,F#,,Windows 7,Very Important,Somewhat Important,Not Very Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Not Very Important,Very Important,Very Important,Very Important,Non-Negotiable,No,It's a paycheck,,,Android,,,,,,,,Nook,,Xbox,,,"$1,001-$2,000",Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,,3000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United Kingdom,,35-39,11,Software Products,1/25/2013,"Executive (VP of Eng, CTO, CIO, etc.)",1/5/2013,1/3/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,,Customers,Finance,,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,,,,Direct sales to companies,Software as a service / recurring billing,,Consulting,,,2-5 hours,2-5 hours,2-5 hours,None,1-2 hours,1-2 hours,5-10 hours,1-2 hours,I can recommend or request products,,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,Don't know,,,C#,Java,JavaScript,jQuery,,,Objective-C,,,,SQL,,,,,,,,,,,,,Windows XP,,,,,,,,,Non-Negotiable,Non-Negotiable,,,,Non-Negotiable,,,No,I enjoy going to work,"$40,000 - $60,000",,Android,,,,Android Tablet,,,,,PS3,Xbox,Wii,Projector,<$100,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
India,,25-29,6/10/2013,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,30-34,6/10/2013,Software Products,1/25/2013,Back-End Web Developer,1/5/2013,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,,Customers,,Human Resources,,,,,,,,,,,Software as a service / recurring billing,,,,,10-20 hours,2-5 hours,5-10 hours,1-2 hours,None,None,None,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$1,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,,,,,,,,,,,,Windows 7,Very Important,Don't Care,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Non-Negotiable,Somewhat Important,Very Important,Non-Negotiable,Don't Care,Somewhat Important,Somewhat Important,Non-Negotiable,Very Important,No,I enjoy going to work,"$40,000 - $60,000",,Android,,,iPad,,,,Kindle,,,Xbox,,,"$501-$1,000",Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,,3000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United States of America,New Jersey,40-50,2/5/2013,Other,3001,Full-Stack Web Developer,100,4/8/2013,System Administrators,,,,Technical Support,,,Customers,,,,iPad,,,,,,,,Direct sales to companies,Software as a service / recurring billing,,,,Other,10-20 hours,2-5 hours,2-5 hours,1-2 hours,2-5 hours,5-10 hours,5-10 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,,Java,,,,,,,,,SQL,,,,,,,,,,,,,Windows 7,Non-Negotiable,Not Very Important,Not Very Important,Not Very Important,Very Important,Non-Negotiable,Somewhat Important,,Very Important,Very Important,Very Important,Not Very Important,Non-Negotiable,Very Important,Don't Care,Don't Care,No,Love my job,"$60,000 - $80,000",iPhone,,Blackberry,,,Android Tablet,Kindle Fire,,Kindle,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,surf to learn new stuff
Germany,,20-24,6/10/2013,Finance / Banking,3001,Enterprise Level Services,100,9/15/2013,,,Product Managers,Testers / Quality Assurance,,,,,,,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,,,,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,,,,10-20 hours,1-2 hours,2-5 hours,None,5-10 hours,1-2 hours,None,None,,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,100001,,,,Java,,,,,,,,,SQL,Cobol,,,,,,C++11,,,,,,Windows XP,Somewhat Important,Somewhat Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Very Important,Not Very Important,Very Important,Not Very Important,Don't Care,Don't Care,No,Love my job,Rather not say,iPhone,Android,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,Don't have an account,Read other people's questions to solve my problems,Ask questions to solve problems,,
Netherlands,,< 20,<2,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,25-29,2/5/2013,Web Services,26-100,Full-Stack Web Developer,31-50,4/8/2013,System Administrators,Designers,,Testers / Quality Assurance,,,,,,,iPhone,iPad,Android phone,Android tablet,Blackberry,,,,,,Software as a service / recurring billing,,,,,5-10 hours,2-5 hours,20+ hours,,None,1-2 hours,1-2 hours,1-2 hours,,,,,,No Involvement,,,,,,,,,,,,,JavaScript,jQuery,,,,,Python,Ruby,SQL,,Node.js,,CoffeeScript,,,,,,MongoDB,,,Linux,Somewhat Important,Don't Care,Very Important,Very Important,Very Important,Very Important,Not Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Not Very Important,No,It's a paycheck,"$20,000 - $40,000",iPhone,,,,,,,,,,PS3,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Neutral,Neutral,none,500,,,Answer questions I know the answer to,
India,,25-29,2/5/2013,Other,3001,Other,100,1/3/2013,,,,,,,,Customers,,,,,,,,,No mobile app,,Direct sales to consumers,,,,,,,1-2 hours,2-5 hours,2-5 hours,5-10 hours,2-5 hours,5-10 hours,5-10 hours,1-2 hours,,,,,,No Involvement,,,,,,,,,C,C++,,Java,,,,,,,,,,,,Haskell,,,,C++11,,,,,,Linux,Not Very Important,Somewhat Important,Don't Care,Don't Care,Very Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Not Very Important,Don't Care,Non-Negotiable,Very Important,Very Important,Somewhat Important,No,I enjoy going to work,"$20,000 - $40,000",,,,,,,,,,,,,,,<$100,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Russia,,25-29,2/5/2013,Software Products,1/25/2013,Mobile Application Developer,1/5/2013,1/3/2013,,Designers,Product Managers,Testers / Quality Assurance,,,,,,,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,,,,,,5-10 hours,2-5 hours,10-20 hours,None,2-5 hours,2-5 hours,1-2 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",,,,Java,,,,,,,,,,,,Haskell,,,,,,,,,,Linux,Not Very Important,Not Very Important,Somewhat Important,Somewhat Important,Non-Negotiable,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Don't Care,Not Very Important,No,I enjoy going to work,"$40,000 - $60,000",iPhone,Android,,,iPad,Android Tablet,,,,,,Xbox,,,"$1,001-$2,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,1000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United Kingdom,,25-29,6/10/2013,Web Services,"1,000-3,000",Full-Stack Web Developer,31-50,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,,,,,,iPhone,iPad,Android phone,Android tablet,,,,Advertising,,,Software as a service / recurring billing,,,,,10-20 hours,10-20 hours,10-20 hours,None,2-5 hours,1-2 hours,2-5 hours,2-5 hours,,,,,,No Involvement,,,,,,,,,,,,Java,JavaScript,jQuery,,,,,Python,,,Scala,,Haskell,,,,,,,,,,Linux,Somewhat Important,Don't Care,Very Important,Somewhat Important,Very Important,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Don't Care,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Yes,I enjoy going to work,"$60,000 - $80,000",,Android,,,,,,,,,,Xbox,,,$251-$500,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Stack overflow careers,1000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Other Europe,,20-24,<2,Other,"Other (not working, consultant, etc.)",Student,1/5/2013,Just me!,,Designers,,,,,,,,,,,,,,,No mobile app,,,,,,,,Other,,,,,,,,,,,,,,No Involvement,,,,,,,,,C,,C#,Java,,,,,,,Python,,SQL,,,,,,,,,,,,,Linux,,,,,,,,,,,,,,,,,No,I wish I had a job!,Student / Unemployed,,Android,,,,,,,,,,Xbox,,,"$501-$1,000",Agree,Agree,Neutral,Disagree,Disagree,Disagree,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Italy,,20-24,2/5/2013,Education,"Other (not working, consultant, etc.)",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-10 hours,5-10 hours,,,,,,,No Involvement,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,Linux,,,,,Very Important,Non-Negotiable,,,,,,,,Non-Negotiable,Very Important,,,I wish I had a job!,,,Android,,,,,,,,,,,,,$100-$250,Agree,Neutral,Neutral,Agree,Neutral,Neutral,,3000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Germany,,30-34,6/10/2013,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Georgia,30-34,<2,Education,1/25/2013,"Executive (VP of Eng, CTO, CIO, etc.)",1/5/2013,1/3/2013,,Designers,,,,,,,,,,,,,,,No mobile app,,,,Software as a service / recurring billing,,,,,20+ hours,10-20 hours,10-20 hours,None,5-10 hours,10-20 hours,5-10 hours,1-2 hours,,,,I can buy anything I want without asking anyone,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,,,,jQuery,,,,PHP,,Ruby,,CoffeeScript,Node.js,,CoffeeScript,,,,,,,,,Mac OS X,Very Important,Somewhat Important,Non-Negotiable,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Not Very Important,Not Very Important,Yes,I enjoy going to work,Rather not say,iPhone,,,,iPad,,,,Kindle,,,Xbox,Wii,,"$2,001-$3,000",Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,"careers 2.0, Windows Azure",50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
France,,20-24,6/10/2013,Software Products,1/25/2013,Full-Stack Web Developer,6/15/2013,1/3/2013,,Designers,,Testers / Quality Assurance,,,,Customers,,,,,,,,,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,,,Consulting,,,10-20 hours,1-2 hours,20+ hours,None,2-5 hours,None,5-10 hours,2-5 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,,,,,,,,,,,,Windows 7,,,,,,,,,,Non-Negotiable,Non-Negotiable,,,,,Non-Negotiable,No,I enjoy going to work,Rather not say,iPhone,,,,,,,,,,,,,PS2,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,None,200,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United Kingdom,,20-24,<2,Education,1/25/2013,Full-Stack Web Developer,6/15/2013,1/3/2013,,,,Testers / Quality Assurance,,Sales / Marketing,,,,,iPhone,,,,,,,,,Direct sales to companies,,,,,,20+ hours,None,10-20 hours,2-5 hours,1-2 hours,2-5 hours,None,None,I can recommend or request products,,I have a discretionary budget at my disposal,,,,,Hardware,Servers,,,,,Don't know,,,C#,,,jQuery,,,,,Python,,SQL,,,,,,,,,,,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,20-24,6/10/2013,Consulting,101-999,Manager of Developers or Team Leader,6/15/2013,9/15/2013,,Designers,Product Managers,Testers / Quality Assurance,,Sales / Marketing,Consultants,,,,,,,,,,,Advertising,,Direct sales to companies,,,Consulting,,,2-5 hours,2-5 hours,2-5 hours,1-2 hours,2-5 hours,5-10 hours,5-10 hours,5-10 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,,Servers,Software,,Consultants,,Don't know,,C++,C#,,,,,,,,,,SQL,,Node.js,,,,TypeScript,C++11,,,,,,Windows 7,Somewhat Important,Not Very Important,Very Important,Somewhat Important,Very Important,Non-Negotiable,,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Non-Negotiable,Not Very Important,Yes,I enjoy going to work,"$80,000 - $100,000",iPhone,Android,,Windows Phone,iPad,,,,,,,Xbox,,,"$1,001-$2,000",Neutral,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Careers.. that's about it. I find the Starfish ad entertaining :),3000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Other Europe,,30-34,2/5/2013,Software Products,1/25/2013,Full-Stack Web Developer,1/5/2013,Just me!,,,,,,,,,,,iPhone,iPad,,,,,,Advertising,,,Software as a service / recurring billing,,Consulting,,,10-20 hours,10-20 hours,1-2 hours,None,None,10-20 hours,10-20 hours,None,,,,I can buy anything I want without asking anyone,,,,Hardware,,Software,,,,"$1,001 - $5,000",,,C#,,JavaScript,jQuery,,Node.js,,,,,,,Node.js,,CoffeeScript,,,,,Redis,,,,Mac OS X,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Non-Negotiable,Non-Negotiable,Yes,I enjoy going to work,"$60,000 - $80,000",iPhone,,,,iPad,,,,,,,,,,">$3,000",Agree,Agree,Agree,Agree,Neutral,Neutral,,2000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Canada,,30-34,6/10/2013,Web Services,1/25/2013,Back-End Web Developer,6/15/2013,4/8/2013,System Administrators,Designers,,Testers / Quality Assurance,Technical Support,,,,,,iPhone,iPad,,Android tablet,,,,,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,,Consulting,,,20+ hours,5-10 hours,2-5 hours,2-5 hours,2-5 hours,1-2 hours,1-2 hours,5-10 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Node.js,,,,,,,,,,PhoneGap,Windows 7,Somewhat Important,,,,Very Important,Very Important,,,,,,,,,,,No,It's a paycheck,"$60,000 - $80,000",,Android,,,,,,,,,,,,,"$501-$1,000",Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United Kingdom,,20-24,2/5/2013,Software Products,101-999,Full-Stack Web Developer,50-100,9/15/2013,,,Product Managers,Testers / Quality Assurance,,,,,,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,,,,10-20 hours,1-2 hours,5-10 hours,,1-2 hours,1-2 hours,1-2 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,C#,,,,,,,,,,SQL,,,,,,,,,Redis,,,PhoneGap,Windows 7,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Non-Negotiable,Not Very Important,Somewhat Important,No,I enjoy going to work,"$20,000 - $40,000",iPhone,,,,,Android Tablet,,,,,,Xbox,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Stack Overflow Careers,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,20-24,<2,Web Services,1/25/2013,Front-End Web Developer,6/15/2013,Just me!,,,,,,,,,,,,,,,,,,,,,,,,,Other,10-20 hours,2-5 hours,2-5 hours,None,None,2-5 hours,2-5 hours,5-10 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,C#,,JavaScript,jQuery,,,,,,,,T-SQL,,,,,,,,,,,,Windows 7,,,,,Very Important,Very Important,,,,Somewhat Important,Somewhat Important,,,,Very Important,Very Important,No,I enjoy going to work,,,Android,,,,,,,,,PS3,,Wii,,"$501-$1,000",Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,apptivate,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Germany,,30-34,11,Foundation / Non-Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,40-50,11,Finance / Banking,101-999,Full-Stack Web Developer,6/15/2013,Just me!,System Administrators,,Product Managers,,,,,,,,,,,,,,No mobile app,,,,,,,,,1-2 hours,None,None,None,1-2 hours,5-10 hours,20+ hours,5-10 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,C#,,JavaScript,jQuery,,,,,,,,,,,,,,,,,,,,Windows 7,Non-Negotiable,Very Important,Very Important,Very Important,Very Important,Don't Care,Not Very Important,Somewhat Important,Non-Negotiable,Non-Negotiable,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,No,Hate my job,">$140,000",iPhone,,,,,,,,Kindle,,,,,,$100-$250,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,3000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Virginia,20-24,2/5/2013,Manufacturing,26-100,Full-Stack Web Developer,1/5/2013,Just me!,,,,Testers / Quality Assurance,,,,,,,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,,,,,,2-5 hours,5-10 hours,2-5 hours,2-5 hours,None,2-5 hours,2-5 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,,,,,CoffeeScript,,,,,,,,,Windows 7,Somewhat Important,Not Very Important,Not Very Important,Not Very Important,Somewhat Important,Very Important,Not Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Don't Care,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,No,It's a paycheck,Rather not say,,Android,,,,,,,Kindle,,PS3,Xbox,,,"$501-$1,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Netherlands,,20-24,2/5/2013,Software Products,1/25/2013,Full-Stack Web Developer,1/5/2013,1/3/2013,System Administrators,,Product Managers,,Technical Support,,Consultants,,,,iPhone,iPad,,,,,,,,Direct sales to companies,Software as a service / recurring billing,,,,,10-20 hours,10-20 hours,5-10 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,None,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,C#,,,jQuery,,,,PHP,,,SQL,,,,,,,,,,MongoDB,F#,,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,20-24,<2,Finance / Banking,101-999,Other,100,4/8/2013,,,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,,,,,,,,,Other,,,,Direct sales to companies,,,Consulting,,,None,1-2 hours,1-2 hours,2-5 hours,2-5 hours,2-5 hours,5-10 hours,1-2 hours,I can recommend or request products,,,,,,,Hardware,,,,,Other,Don't know,,,C#,,JavaScript,jQuery,,,,,,,,,,,,,,,WinRT,,,,,Windows 7,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Not Very Important,Very Important,Non-Negotiable,Very Important,Don't Care,Not Very Important,Very Important,Somewhat Important,Not Very Important,Not Very Important,No,It's a paycheck,"<$20,000",,,,Windows Phone,,,,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,500,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Australia,,25-29,2/5/2013,Web Services,26-100,Mobile Application Developer,16-30,1/3/2013,,,,,,Sales / Marketing,,,,,,,,Android tablet,,,,,,,,Mobile app sales,,,Other,10-20 hours,10-20 hours,5-10 hours,10-20 hours,2-5 hours,10-20 hours,10-20 hours,10-20 hours,,,I have a discretionary budget at my disposal,,,,,,,Software,,,,"$1,001 - $5,000",,,,Java,JavaScript,,,,,,,,,,,,CoffeeScript,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Florida,30-34,6/10/2013,Software Products,26-100,Desktop Software Developer,1/5/2013,1/3/2013,,Designers,,Testers / Quality Assurance,,,,,,,,,,Android tablet,,,,,,,,,,,Other,10-20 hours,2-5 hours,None,None,1-2 hours,2-5 hours,2-5 hours,5-10 hours,,,,,,No Involvement,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,C++11,,,,,,Windows XP,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Very Important,Somewhat Important,Very Important,Not Very Important,Yes,I enjoy going to work,"$40,000 - $60,000",,Android,,,,,,,,,,,,,<$100,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,Don't have an account,Read other people's questions to solve my problems,,,
Germany,,25-29,6/10/2013,Education,3001,Other,100,15,System Administrators,,,,,,,Customers,,,,,Android phone,,,,,,,,,,,,,10-20 hours,5-10 hours,5-10 hours,None,5-10 hours,5-10 hours,5-10 hours,1-2 hours,I can recommend or request products,,I have a discretionary budget at my disposal,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,C#,Java,,,,,,,,,SQL,"Ada, SQLite, Xml/XSLT/Xml Schema, SPARQL, LaTeX",,,,,,,,,,F#,,Windows 7,Somewhat Important,Don't Care,Very Important,Very Important,Very Important,Non-Negotiable,Not Very Important,Somewhat Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Not Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,No,I enjoy going to work,"$40,000 - $60,000",,,,,,,,,,,,,,"Desktop PC, Notebook, non-smart cellphone",<$100,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"I generally ignore ads, but I think there was some seastar, so probably some travel agency thing.",3000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
